epsilon,cos_phi_r,delta,E_E0,Es_E0,Es_E,Es0_E0
0.05454545454545455,0.8888888888888888,0.1388888888888889,0.9669220430877093,0.8824752410821144,0.9013921460962064,0.9139062499999999
0.05454545454545455,0.8888888888888888,0.15,0.96679992884589,0.8823592426591574,0.9013860170055045,0.9139062499999999
0.05454545454545455,0.9166666666666666,0.05,0.9679156089643296,0.8833764327961711,0.9014563064020422,0.9138636363636363
0.05454545454545455,0.9166666666666666,0.061111111111111116,0.9677971951540808,0.8832639494769404,0.9014503770159626,0.9138636363636363
0.05454545454545455,0.9166666666666666,0.07222222222222222,0.9676787813438318,0.8831514661577095,0.9014444461787379,0.9138636363636363
0.05454545454545455,0.9166666666666666,0.08333333333333333,0.9675603675335828,0.8830389828384788,0.9014385138898354,0.9138636363636363
0.05454545454545455,0.9166666666666666,0.09444444444444444,0.9674419537233339,0.8829264995192481,0.9014325801487217,0.9138636363636363
0.05454545454545455,0.9166666666666666,0.10555555555555556,0.9673235399130848,0.8828140162000173,0.9014266449548637,0.9138636363636363
0.05454545454545455,0.9166666666666666,0.11666666666666665,0.9672051261028357,0.8827015328807866,0.9014207083077279,0.9138636363636363
0.05454545454545455,0.9166666666666666,0.12777777777777777,0.9670867122925868,0.8825890495615559,0.9014147702067804,0.9138636363636363
0.05454545454545455,0.9166666666666666,0.1388888888888889,0.9669682984823379,0.8824765662423252,0.9014088306514869,0.9138636363636363
0.05454545454545455,0.9166666666666666,0.15,0.9668498846720888,0.8823640829230944,0.9014028896413133,0.9138636363636363
0.05454545454545455,0.9444444444444444,0.05,0.9679312813803921,0.8833512133424327,0.9014714401093704,0.9138235294117647
0.05454545454545455,0.9444444444444444,0.061111111111111116,0.967816350329268,0.8832420383561207,0.9014656870280754,0.9138235294117647
0.05454545454545455,0.9444444444444444,0.07222222222222222,0.967701419278144,0.8831328633698086,0.9014599325802273,0.9138235294117647
0.05454545454545455,0.9444444444444444,0.08333333333333333,0.96758648822702,0.8830236883834963,0.9014541767653391,0.9138235294117647
0.05454545454545455,0.9444444444444444,0.09444444444444444,0.9674715571758962,0.8829145133971842,0.9014484195829235,0.9138235294117647
0.05454545454545455,0.9444444444444444,0.10555555555555556,0.967356626124772,0.8828053384108719,0.9014426610324935,0.9138235294117647
0.05454545454545455,0.9444444444444444,0.11666666666666665,0.9672416950736481,0.8826961634245597,0.901436901113561,0.9138235294117647
0.05454545454545455,0.9444444444444444,0.12777777777777777,0.967126764022524,0.8825869884382476,0.9014311398256385,0.9138235294117647
0.05454545454545455,0.9444444444444444,0.1388888888888889,0.9670118329714,0.8824778134519353,0.9014253771682375,0.9138235294117647
0.05454545454545455,0.9444444444444444,0.15,0.9668969019202759,0.8823686384656233,0.9014196131408699,0.9138235294117647
0.05454545454545455,0.9722222222222222,0.05,0.9679460582298225,0.883327435000337,0.9014865285174308,0.9137857142857142
0.05454545454545455,0.9722222222222222,0.061111111111111116,0.9678344109230161,0.883221379299348,0.9014809416547436,0.9137857142857142
0.05454545454545455,0.9722222222222222,0.07222222222222222,0.96772276361621,0.8831153235983591,0.9014753535029305,0.9137857142857142
