epsilon,cos_phi_r,delta,E_E0,Es_E0,Es_E,Es0_E0
0.05,0.9722222222222222,0.12777777777777777,0.9248421888950893,0.8424371470988071,0.8992886071923658,0.9137857142857142
0.05,0.9722222222222222,0.1388888888888889,0.9245872977120534,0.842195222261544,0.8992748668994626,0.9137857142857142
0.05,0.9722222222222222,0.15,0.9243324065290178,0.8419532974242808,0.8992611190285936,0.9137857142857142
0.05,1.0,0.05,0.9266582885742187,0.8441251472785922,0.8994012761283792,0.91375
0.05,1.0,0.061111111111111116,0.9264104777018229,0.8438899425756976,0.8993879739385616,0.91375
0.05,1.0,0.07222222222222222,0.926162666829427,0.8436547378728029,0.8993746646302814,0.91375
0.05,1.0,0.08333333333333333,0.9259148559570313,0.8434195331699081,0.8993613481978223,0.91375
0.05,1.0,0.09444444444444444,0.9256670450846355,0.8431843284670135,0.8993480246354636,0.91375
0.05,1.0,0.10555555555555556,0.9254192342122396,0.8429491237641187,0.8993346939374768,0.91375
0.05,1.0,0.11666666666666665,0.9251714233398438,0.8427139190612241,0.8993213560981285,0.91375
0.05,1.0,0.12777777777777777,0.9249236124674479,0.8424787143583294,0.8993080111116784,0.91375
0.05,1.0,0.1388888888888889,0.924675801595052,0.8422435096554347,0.8992946589723803,0.91375
0.05,1.0,0.15,0.9244279907226564,0.8420083049525401,0.8992812996744817,0.91375
0.05454545454545455,0.75,0.05,0.9198731891605764,0.8381017064474474,0.8988984020018427,0.9141666666666667
0.05454545454545455,0.75,0.061111111111111116,0.9195165174471992,0.8377631818944483,0.8988789211991977,0.9141666666666667
0.05454545454545455,0.75,0.07222222222222222,0.919159845733822,0.837424657341449,0.898859425277852,0.9141666666666667
0.05454545454545455,0.75,0.08333333333333333,0.9188031740204448,0.83708613278845,0.8988399142201993,0.9141666666666667
0.05454545454545455,0.75,0.09444444444444444,0.9184465023070677,0.8367476082354509,0.8988203880086045,0.9141666666666667
0.05454545454545455,0.75,0.10555555555555556,0.9180898305936905,0.8364090836824518,0.8988008466254065,0.9141666666666667
0.05454545454545455,0.75,0.11666666666666665,0.9177331588803131,0.8360705591294526,0.8987812900529164,0.9141666666666667
